	Url	Category	Position	Title	Location	Amount_Raised	Goal	Number_of_Donations	Length_of_Fundraising	FB_Shares	Number_of_Donors	Followers	Text
0	https://www.gofundme.com/f/help-dominic-with-lifesaving-cancer-treatments	Medical	8	Help Dominic with Life Saving Cancer Treatments!	Raised $17,945 from 158 donations	210961	250000	1.7K	88 days 20:05:24.198021000	2.7K	1.7K	1.7K	We can all agree it's been a tough year.  For the Militello family it has been overwhelming and they now need your help!  Dominic, Carly and Valentin ( 2 years old) want to thank you in advance for your support, this life saving cancer treatment could not happen without you. Dominic has the unfortunate diagnosis of Stage 4 Small Intestine Cancer.  He has been undergoing chemotherapy treatment for the last 10 weeks. This week they found out that Dominic is eligible for a new targeted therapy that has had great success with this aggressive cancer!  Unfortunately this new treatment is NOT covered by insurance.  As you can imagine, it is incredibly expensive, and he many need to be on this therapy for years.  Your generosity can help them go forward with this new treatment as this is the next step needed to fight his cancer.As some of you may know, Dominic has a genetic disposition for colon cancer.  He has been closely monitored since childhood and has had two major preventative surgeries to protect him from developing cancer.  So it came as a shock that this cancer is so aggressive and so far along as he is very closely watched by his doctors.  Both he and Carly have been out of work for months due to COVID.  Dominic and his family could use all of the financial support they can get.The money raised here will go to medical bills, medication, future treatment costs and most importantly this new this new targeted therapy that is not covered by insurance.  Please urgently forward this to as many people as possible and encourage friends to do the same (even those who do not know us may think it is a good cause to donate to).  As a community we can help Dominic and the Militello's with the financial burden that lies ahead so Dominic can focus on his recovery, and fight this as a family.If you know Dominic, he is the most positive, loving person and always wears his heart on his sleeve.  Under these circumstances, this had not changed.  We are optimistic and thank you so much for your help!
0	https://www.gofundme.com/f/Army4Juju	Medical	8	Single Mom of 3 battling aggressive cancer	Miami Beach, FL	210728	225000	1.4K	141 days 20:05:25.274924000	1.4K	1.3K	1.3K	"Our friend Giulianna was diagnosed with colon cancer in the beginning of June 2020. She had been scheduled for surgery two weeks after. This past Sunday June 14, 2020,  days before her surgery, ""Juju"" , how we affectionally call her, had to be rushed to the ER with severe pain. While at the ER, further tests were done to find the cause of her pain, and to everyone's unpleasant surprise it was found that her cancer had spread to her liver and lungs.  Giulianna is beautiful woman who had a successful career in modeling and desired a family with kids more than anything.  She became a mother at an early age and later in life, in recent years, she had two more beautiful children. After a series of life events, Juju ended up having to raise her three kids by herself.  In spite of her situation, she assumed her challenge as a new single mom of three with strength, grace, and love. Giulianna considers her kids as her greatest achievement and biggest blessings; these are Cedric (17), Gianna (3), and Cruz (1). Juju is a natural nurturer, a dedicated mother, a loyal friend, with a happy and very sweet personality... we often say, she ""doesn't have a bad bone in her body""! Guiliana's source of strength through all her challenges has been grounded in her strong belief in Jesus as her Lord and Savior and now her Healer. Giulianna's situation is aggravated due to the fact that she does not receive any financial help and had to stop working to continue raising her youngest children. We, Army4Juju would appreciate your donation to provide relief to her and her children with her  needs such as medical bills, childcare, rent, groceries, and special holistic nutrition for cancer. Thank you for your contribution and may God bless you for your generosity.MAMA SOLTERA DE 3 ESTA COMBATIENDO UN CANCER MUY AGRESIVO.Nuestra amiga Giuliana fue diagnosticada Con cáncer de colon a principio del mes de junio del 2020. Se le fue programada una cirugía dos semanas después de su día de diagnóstico. Este pasado domingo, 14 de junio, Días antes de su cirugía, “Juju”, Como cariñosamente le llamamos, fue ingresada de emergencia por un fuerte dolor que conllevó a ciertos estudios que arrojaron como resultado una metástasis de su cáncer a su hígado y pulmones; cosa que nos ha tomado por sorpresa a todos, incluyendo a ella y a sus nenes. Giulianna es una hermosa mujer peruana americana con una previa y muy exitosa carrera como modelo, quien deseaba siempre tener una familia e hijos más que nada. Ella se convirtió en madre a una temprana edad, y más tarde en su vida,  hace unos pocos años, tuvo dos hermosos bebes más. Después de una serie de eventos, Juju se convirtió en madre soltera de sus tres hijos, Y a pesar de su situación  aceptó el reto con amor, fortaleza y gracia.  Giuliana considera sus hijos Cedrick (17), Gianna (3), y Cruz(1) su más grande logro y bendición.  Ella es una madre dedicada y amorosa, proveedora de cuidado y cariño para sus hijos, amiga leal, con una personalidad alegre y muy dulce... siempre le decimos que “no tiene hueso malo en su cuerpo”! La fuente de fortaleza de Giulianna en todos sus tiempos difíciles ha sido su fuerte confianza en Jesucristo como su señor y Salvador, y ahora como su Sanador.La situación de Giulianna se agrava debido a que no tiene apoyo financiero, ya que por estar presente en el crecimiento de sus hijos menores, dejó de trabajar. Nosotros, quiénes nos hacemos llamar #Army4Juju, agradecemos sus oraciones y donación que traerán alivio y provision a las necesidades de  Giulianna y sus niños; necesidades tales como facturas medicas, cuidado de niños, renta, comida, y plan de nutrición especial de ella para el cancer.De parte nuestra y de Giulianna, les damos muchas gracias por su apoyo.Dios los bendiga!#army4juju"
0	https://www.gofundme.com/f/gregg-garfield-beats-covid-fundraiser	Medical	9	Gregg Garfield Covid 19 Patient Zero	Los Altos, CA	207768	50000	1.2K	191 days 20:05:26.321322000	5.6K	1.2K	1.2K	"When my brother Gregg left on Feb. 20 for his annual boys' ski trip adventure, he had no idea 10 days later he would begin his most difficult journey to date- fighting for his life.  On March 5, 2020 Gregg checked himself into St. Joseph's Providence Hospital Burbank with serious Covid-19 symptoms.  He was the hospital's first Covid-19 patient, or ""Patient Zero"" as they call him.  Two days later, under heavy sedation and paralytic drugs, the doctors intubated him- around day 10 doing a tracheostomy- and he continued to be on a ventilator for 31 days.    During that time his body became septic; his kidneys failed and he was put on CRRT dialysis; his blood pressure plummeted and he needed medications to divert his blood-flow to his major organs for survival, leaving his hands and feet starving for circulation; he spiked fevers and was covered in ice; his lungs collapsed 4 times and chest tubes were inserted; and he developed secondary infections that are common in hospital environments.  He had a 1% chance of surviving.  The doctors and nursing staff had to always remain 3 steps ahead of any potential disasters because to enter his room took about 15 minutes for them to gear up in their hazmat attire.  Gregg knocked on death's door, but said ""F#$% NO!  I'm not coming in!!!Throughout this time his ""village"" prayed for him, toasted him nightly with tequila- his favorite, meditated, danced and supported him in unmeasurable ways.  His care team at the hospital- an incredible group of smart, talented, caring individuals- did everything in their power to bring him through.  THANK YOU seems inadequate a word to express the gratitude that Gregg and his family feel for all of you. Gregg moved to acute rehab on April 24 (hospital day 50) and now begins the very long process of rebuilding his body.  He's relearning how to walk, perform daily activities, and rebuilding his strength so that he can head back home to AJ, Bear, family and friends.   Until now we have focused our communications on Gregg living and surviving this deadly virus and did not share the severity of injury to his hands and toes.  The sustained lack of circulation to his extremities caused his fingers and toes to turn black, similar to a frostbite injury.  This caused permanent damage and unfortunately once he is released from acute rehab, he will be looking at additional surgeries for amputation, prostheses and of course more physical/occupational therapy as he learns to navigate this new world.  For someone as active as Gregg, this of course is life-changing, but with the right doctors, equipment and support, we know he will tackle this next challenge- AND he will be back skiing, enjoying tequila, and causing his usual raucous-  thanks to your generosity and spirit!  In the meantime, he'll need upgrades in his house to accommodate his new hands and help facilitate movement.  He'll also need 24-hour assistance in the beginning. I know we are all struggling during this time, but these home renovations, doctors' bills, etc. add up, so any additional financial support to ease the future financial strain is more than greatly appreciated."
0	https://www.gofundme.com/f/mxjfgb-help-lily-beat-cancer	Medical	9	Help Lily Beat Cancer	Los Angeles, CA	201455	200000	1.6K	182 days 20:05:27.348041000	7.6K	1.5K	1.6K	"This fundraiser has been established for my lifelong friend Ramela’s 11-year-old daughter, Lily Abbamontian. Lily is a fun-loving 6th grader who enjoys reading, building legos, watching movies and solving riddles. Most of all, however, Lily loves spending time with her parents, Ramela and Jimmy, and her two sisters, Grace (13) and Ella (8). On April 15th, Lily was rushed to Children’s Hospital of Los Angeles with an unrelenting high fever and abdominal pains. Sadly, doctors found a 7 inch mass on her right kidney, with masses in her lungs and lymph nodes. Shortly thereafter, Lily was diagnosed with Ewing’s Sarcoma, an extremely rare and aggressive cancer requiring immediate and intense chemotherapy, radiation, and surgery. Unfortunately, cancer is a word that Lily is very familiar with. In 2011, Lily's maternal grandfather died of breast cancer (sadly, breast cancer occurs in men too). Two years later, Lily's mother, Ramela, courageously fought her own breast cancer battle at the age of 37, while caring for her three young daughters.  And only 3 months after Ramela's last chemo treatment, Lily's grandmother (Ramela's mother) was diagnosed with breast cancer.  There truly are no words to describe how much Lily's family has endured and now this...Lily’s parents are college sweethearts and were married shortly after Jimmy returned from his tour of duty in Iraq. Ramela teaches Art History at Pierce College and Jimmy is a high-school teacher at Holy Martyrs Ferrahian High School.  As you can imagine, this catastrophic event has turned their world upside down. The family is now faced with additional financial burdens and medical treatments not covered by insurance.  As Lily embarks on the fight of her life, her road to recovery will be long.  Unable to attend school, Lily will be spending much of the upcoming year in and out of the hospital.  This fundraiser has been established to help ease the burden on Lily's parents, so that the family can focus all their efforts on Lily’s treatment, healing and spending precious time together.  Anyone who knows Ramela and Jimmy can attest to the fact that they are incredibly giving when it comes to their time, love, and energy for anyone in need.  As the Abbamontians face the unthinkable and do all they can to help Lily beat cancer, if we can help alleviate some of the day to day financial pressures that will mount during this time of critical care, we too will have done our part to support them in a time of sincere need. #HelpLilyBeatCancerWith much gratitude,
Ani Shabazian







"
0	https://www.gofundme.com/f/help-adeline-conquer-covid	Medical	9	Help Adeline Conquer COVID	La Fayette, NY	196797	150000	3.8K	85 days 20:05:28.381471000	19.5K	3.8K	3.8K	Adeline, an OB/GYN resident physician, was starting her second year of residency in Texas when she got sick. On July 8th Adeline went into work for her 12 hour shift in the ER. While she mostly works delivering babies, she was doing a rotation in the ER, treating COVID patients. That morning she went into work feeling well and excited to see patients, but by the evening she began to feel under the weather. What started as intense flu-like symptoms escalated within the week to a hospital stay. Adeline spent the next few weeks battling COVID and was treated with several different respiratory therapies and put on dozens of drugs. When there was no positive response to these methods of treatment Adeline decided to begin an experimental drug trial. However, before we could see if this new drug was effective, her lungs could no longer support her. On August 3rd Adeline was intubated and placed on a ventilator. That night her vitals were unstable and the doctors said that she was not responding well to the ventilator. After consulting with our parents, the doctors took the last remaining step available. At 1am on August 4th Adeline was placed on ECMO, extracorporeal membrane oxygenation. The catheters used in the ECMO machine involved an invasive procedure to place them in her femoral artery. The ventilator opens her lungs through positive pressure, while the ECMO machine oxygenates her blood. This leaves Adeline’s lungs with the only task of healing themselves. It is projected that Adeline will be on the ventilator and ECMO for at least 6-8 weeks. Since we are from Syracuse, NY, our parents have had to travel back and forth to be there for Adeline and continue to support our family. While our Dad’s job can be done virtually, our Mom’s cannot and therefore she cannot work. In addition, our Mom helps to take care of our 91 year old grandmother, the responsibility of which has now fallen on us. When Adeline gets off life support, she will need physical, respiratory, and occupational therapy to regain her strength and mobility. At this time, we do not know how long a full recovery will take or when she will be able to return to work.Donations made to Adeline’s cause will go toward medical expenses, her bills, travel expenses, and to support the family while we navigate this difficult time.We want everyone to know that Adeline is a fighter. She is determined and has set her mind to surviving this virus. As she fights everyday for her life, we need to stay strong for her on the home front. So much love and support has been shown to our family and from the bottom of our hearts, we thank you.Addendum: Maureen Fagan, the organizer of this GoFundMe, is Dr. Adeline Fagan's sister. Any funds withdrawn from this GoFundMe will be deposited into Adeline's account and will be used accordingly for the purposes stated above. 
0	https://www.gofundme.com/f/colvin-family-recovery	Medical	10	Colvin Family Recovery	Raised $50,487 from 295 donations	189951	200000	1.1K	143 days 20:05:29.435960000	1.7K	1.1K	1.1K	"If you're reading this, then you're probably aware of the tragedy that befell my family on the afternoon of Sunday, May 3rd. If not---the short story is that my husband (Jeff) and son (Judge) came within an inch of their lives when they were crushed by a 75 foot red oak tree that fell during a storm in Nashville. Three year old Judge suffered a severe traumatic brain injury and was in a coma for two weeks, all the while being closely and carefully monitored by the heroes at Monroe Carroll, Jr. Children's Hospital at Vanderbilt. Because neither our hometown of Nashville, nor the State of Tennessee offers inpatient rehabilitation for children with brain injuries, Vanderbilt transferred Judge to Children's Healthcare of Atlanta (CHOA), where we have been since May 27th. Jeff shattered 19 ribs, both of his scapulas, punctured a lung, and grotesquely broke his back (sorry, but that's how it was described to us), requiring spinal surgery to both fuse his broken vertebrae and to insert a steel rod. It's nothing short of a miracle that both survived their injuries, and in Jeff's case, is able to use his legs. Because of the global pandemic, cruelly, neither Jeff nor Judge have been allowed visitors during their hospital stays. I've been living with Judge and, mercifully, both hospitals have made a couple of exceptions along the way, so that Jeff could see Judge and I for a short time...but our family having to be apart over the last six weeks with no other visitors has been very tough for us to endure emotionally. Thankfully, Jeff has since moved on to outpatient status and is doing his rehabilitation work at the renowned Shepherd Center in Atlanta, while staying in an apartment nearby the facility. We're incredibly grateful that both Jeff and Judge were able to transfer to two of the top facilities in the country to undergo their rehab work. Once Judge is discharged from CHOA and is ready to begin his outpatient work, we have rented a home where the three of us will finally reunite as a family. What a happy day that will be! Jeff & Judge's doctors have been straight-forward in stressing the long-term therapy and care both will require. We don't know yet how Judge's young brain will heal but doctors have warned us that he may have life-long complications from the severity of his injuries. But we pray for a complete healing everyday, and we are certain that our family (extended to include you) is still living through an active, fluid, and dynamic miracle, that our precious Judge will recover fully, and will live a full and rich life, forever to be known as the boy that took on a majestic red oak, and lived to tell about it! In the few moments Jeff and I have been afforded alone, we've begun to get an understanding of the fallout from this tragedy, both in terms of financial expenses and disruption to our professional lives. We're absorbing the sobering reality that the cost of this unexpected event outstretches the resources we have available. This has been a humbling exercise, and one that has required us to face our hubris, and drop our pride for the good of our family, especially for Judge. We're heeding the advice given by our brother Thad  Cockrell from one of his most inspired songs; ""Pride won't get us where we're going"". Where we're going is home, in every sense of that word...and we need your help in getting there. It takes all the courage we can muster to ask for your assistance, even while knowing that many of you have already offered and many more are willing. It's overwhelming to consider the encouragement, love and support we've already received, and we're awestruck by the grace and generosity provided us daily, both in ways we see, and in ways unseen but felt.   Please know that once we're to the other side of this, a ""Healthy Family Together Again"", and back on firm footing, both physically and financially, we'll repay the charity given us to the life-saving, care-giving, soul-enriching healthcare providers who have nurtured Judge back to good heath, sound mind and strong spirit. We'll forever think of you as we support Monroe Carroll, Jr. Children's Hospital at Vanderbilt, as well as CHOA. Your gifts will be paid forward, but our family will be forever indebted to the angels who, we believe, appeared to us even as that tree began to fall, and will stay with us for time eternity."
0	https://www.gofundme.com/f/kyrff	Medical	10	Kentucky Reproductive Freedom Fund	Louisville, KY	185944	100000	5.2K	154 days 20:05:30.437111000	1.9K	5.1K	5.1K	"
The Kentucky Reproductive Freedom Fund normally accepts donations through the Community Foundation of Louisville. Due to an increase in support from across the country during a social time of need, we temporarily must move to GoFundMe for donations under $250. Although you are able donate higher than $250 through GoFundMe, if you intend to make a gift over $250 and want to receive a tax deduction, please contact the Community Foundation of Louisville at the following email address:

Black women are disproportionately denied access to reproductive healthcare. Our primary partner, EMW Women's Surgical Center, is located in downtown Louisville and has been damaged during recent protests. As protests continue, we still have patients in need of help as the only clinic open in the state of Kentucky. We support intersectional equality including access to healthcare. 



MissionThe Kentucky Reproductive Freedom Fund is dedicated to maintaining and improving access to contraception and abortion care. The fund supports litigation, policy reform, patient subsidies and the expansion of women's access to care in the state. The goal of the fund is shifting the landscape in Kentucky to ensure that women's access to constitutionally protected, safe and dignified reproductive health care is not jeopardized. All of the listed areas of focus are important and have local, state, regional and national implications for women to make their own reproductive health decisions.Our StoryDr. Ernest Marshall and his wife Ona founded the Kentucky Reproductive Freedom Fund in response to escalating attacks on Kentucky women’s reproductive rights in 2018. Dr. Marshall is the only surviving founding member of EMW Women's Surgical Center  which is the only licensed abortion provider in the state of KY. The surgical center was founded in 1980 by three board certified OB/GYN physicians that dedicated their careers to providing comprehensive OB/GYN, family planning and reproductive services to women in Kentucky and regionally (Ohio, Indiana, Tennessee, Missouri, West Virginia). Over the years EMW and its physicians have acted as plaintiffs in state and federal level cases against legislation that has attempted to block women's access to care.Since the 1980's EMW has been and remains the training facility for the medical students and OB/GYN residents at the University of Louisville and the University of Kentucky. Patients are referred to the University of Louisville Family Planning Clinic for long acting reversible contraception which can be obtained at no cost.Our StaffAvailable to give patients excellent medical care and provide medically accurate information are board certified OB/GYN physicians that are professors at the University of Louisville, registered nurses, counselor with a training certificate in marriage and family planning, nurse anesthetist's, anesthesiologist, surgical assistants and medical assistants.Who We ServeWomen in the state of KY, Indiana, Ohio and Tennessee, Missouri and West Virginia.Our PartnersACLU,  Kentucky Health Justice Network, National Abortion Federation, Feminist Majority Foundation and Women to the Front.Our partners tackle challenges in many ways from protecting women as they enter the clinic, blocking anti-abortion laws in court, fundraising, subsidizing medical costs and hotels to assisting women with transportation to the clinic.American women are constantly under siege. Join us to ensure that every person has reproductive options to control their own body and decide their own future.Please note that gifts made thru GoFundMe are not generally tax deductible. But if you intend to make a gift over $250 and receive a tax deduction, please contact the Community Foundation of Louisville at the email listed above. 
"
0	https://www.gofundme.com/f/tom-and-maureen-annal-fund	Medical	10	Support the Annal Family	Raised $33,808 from 393 donations	186688	200000	2.3K	59 days 20:05:31.335043000	12.3K	2.3K	2.3K	On September 3, 2020, as many of you know, Tom and Maureen Annal and their two beautiful girls, Maryella & Elizabeth, lives were changed forever as the result of an horrific motor vehicle accident on the New York State Thruway. This account is being set up by the families of Tom and Maureen to help aid with memorial efforts for the girls, as well as with the significant medical expenses that are anticipated in the long road ahead. The funds raised will be given directly to Tom and Maureen. Our family is humbled and thanks you all for your generosity, and the enormous outpouring of prayers and support that we have received from the community. We have been touched by all the sentiments expressed. Your expressions of love and support are a true testament to how this beautiful family has touched all of our lives.
0	https://www.gofundme.com/f/y4u42w-atlas-family	Medical	11	Atlas Family	Waxhaw, NC	183578	225000	1.5K	100 days 20:05:32.183987000	2.5K	1.4K	1.4K	Last October, Jeff Atlas was diagnosed with stage three, high risk multiple myeloma, which is an incurable bone marrow cancer that attacks your blood plasma and that has resulted, for him, in full renal failure. 85% of patients with multiple myeloma are considered low risk, unfortunately Jeff is among the roughly 15% who are considered high risk due to chromosomal characteristics. This means that Jeff's particular cancer is more difficult to treat and keep under control, as it frequently finds a way to outsmart and become resistant to the treatments. For our friend Jeff, the last 9 months have been a continuous battle, where each new treatment offers a limited reprieve before his cancerous cells multiply and regain strength. Since last October, Jeff has endured a rigorous schedule of dialysis three times a week, chemotherapy treatments a minimum of three times per week, as well as multiple lengthy inpatient hospitalizations. It has been an unrelenting and exhausting battle.Jeff is a self employed clinical psychologist who has dedicated his professional career to helping others. It is now Jeff who is in need of our help. Due to the demand of his therapies, Jeff has been unable to work since last September. Jeff and his wife Leisa have three children, Katie (22) rising senior in college, Kyle (19) rising junior in college, and Jake (17) rising senior in high school. Jeff is the sole source of income for their family.  Though their privacy must be respected, it’s worth noting that with three kids in school, they are selling their home in an effort to continue providing for Jeff’s health care, pay bills, and to support their childrens’ educational wellbeing. They remain in a precarious financial situation with no easy solution.I think it is clear to anyone who knows the Atlases that Jeff is kind, warm, and compassionate, and there’s nothing he wouldn’t do for his family and friends. Jeff and Leisa along with their children have been a staple of the Marvin community for as long as they’ve lived here, always welcoming and essential to so many of our lives. Jeff and Leisa would be making this Go Fund Me for any of us if we were in this situation, so I’m writing to ask that you donate any amount—however small or large—so that the emotional and physical stress of Jeff’s illness won’t be further compounded by financial concerns.**Jeff and Leisa welcome spiritual support in whatever form that may be. Jeff is currently undergoing rigorous preparations for a tandem stem cell transplant in the beginning of August, which if successful, could offer him more precious time with his family and friends. Jeff and Leisa greatly appreciate any well wishes you are able to offer.
0	https://www.gofundme.com/f/fight-for-kamil	Medical	11	Fight For Kamil	Raised $42,558 from 362 donations	181638	750000	1.7K	85 days 20:05:33.215347000	4.6K	1.6K	1.6K	"
“When we meet real tragedy in life, we can react in two ways--either by losing hope and falling into self-destructive habits, or by using the challenge to find our inner strength.”-Dalai LamaAnyone that knows the name Kamil Sudol knows behind that man is great courage, an amazing character, selflessness and a wholehearted soul. Kamil was in a horrifying accident on August 3rd, 2020 leaving his body paralyzed from the chest down as a result of jumping into water he didn’t know was shallow while vacationing in Martha’s Vineyard. Kamil was airlifted to Massachusetts General Hospital where he is in critical condition with fractures to his vertebrae; facing severe injury to his spinal cord leaving his 20 year old body without any sensation and mobility immediately from his chest down, still remaining with some limited sensation in his arms.Kamil was a great athlete at Mahopac High School playing football and lacrosse, and later touched many more lives at Mount Saint Mary College where he continued his Lacrosse career and studied Criminal Justice. Kamil has a monumental love of the outdoors. He loves hiking, biking, fishing, and any sort of adventure. His dreams to become a police officer and have a beautiful life are postponed for now.Kamil will be facing many obstacles and treatments on his way to his desire of recovery. In preparation for the immense emotional and financial toll this will take on his family, we are looking to do everything possible to aid Kamil along his journey. We are asking for any sort of gesture to help him and his family conquer this situation, and participation from you in his long journey. Hopefully we can celebrate one day his regain of what he has lost. If you cannot donate, please pray and please share this in support of Kamil. He is a huge part of our lives and we are hoping to face this with strength, support, and in faith.Thank you so much to The Butkiewicz Family, The Cohen Family, The Moreau Family, Deanna Marano, Paul Brooks (Brooksie), and  Samantha Ann for their help with organizing this campaign; and thank you to those of you that decide to participate in supporting the cause.

 





 

#BelieveintheFight
"
0	https://www.gofundme.com/f/investigator-mario-herrera	Medical	11	Investigator Mario Herrera	Bellevue, NE	178011	1000	2.3K	67 days 20:05:34.179758000	12.6K	2.3K	2.3K	The family of Mario Herrera is overwhelmed by the outpour of support from family, friends, our local community and people across the nation that have heard his story.   On Wednesday, August 26, Mario was shot while attempting to arrest a subject with a warrant, as part of his duty as an investigator for the Lincoln Police Department.   He is currently in critical condition at the University of NE Medical Center.   The family initially declined having a Go Fund Me account set up, as my sister Carrie (Mario's wife) is a proud and private woman and was uncomfortable with the idea.   With some nudging, she agreed to a special account for donations through their bank, as so many people wanted to help.  While that has been a great way to allow people to make donations, we have quickly realized it may not be enough.   People from all over the country have reached out wanting to help.   We were able to convince Carrie to allow us to set this Go Fund Me page up on her behalf, to make it easier for people outside the Lincoln/Omaha metro area to make donations.      The below photo is Mario with his wife Carrie and their 4 children (Adelina, Celia, Olivia and Carlos).
0	https://www.gofundme.com/f/csgskf-love-and-support-for-leslie	Medical	12	Love and Support for Leslie	San Diego, CA	175873	250000	7.4K	156 days 20:05:35.089395000	10.9K	7.4K	7.4K	On behalf of Leslie and her family we are asking for moral support during this time. Leslie was peacefully protesting, when La Mesa PD opened fire in close range and shot her directly in her head. She is currently in ICU and we are praying for a full recovery. These funds will cover any medical expenses, as well as any travel expense to bring immediate family here for support.
0	https://www.gofundme.com/f/dr-elgozy-covid-relief	Medical	12	Dr. Jacob Elgozy Covid  Family Relief	Aventura, FL	174958	250000	1.5K	64 days 20:05:36.071416000	2.4K	1.4K	1.4K	Dr. Jacob Elgozy is a kind, trustworthy, and amazing father of five young, beautiful children. He is an ICU and military doctor. His duties included a tour in Afghanistan and training military personnel. Jacob has been on the ICU frontlines fighting Covid-19 since March. Every day, he put the lives of his patients before his own, and that of his wife and five children.Unfortunately, Jacob contracted Covid-19 in July, and has been fighting for his life since. Jacob has sustained horrific lung damage due to Covid-19, and will to need multiple medical procedures and intense physical therapy to get healthy again. Jacob was always there for his ICU patients and their families. He has saved countless lives and will continue to do right by his patients and the community after healing from coronavirus. Jacob and his family need your help during this long and arduous journey to recovery. Please assist us in raising funds for his medical bills, and to help alleviate the burden of expenses for his five children and wife. First, please donate any amount that you can.Then, share this link with anyone that can help!While Jacob fights for his life, he and his family need all of us right now. Let's show them the compassion they deserve. 
0	https://www.gofundme.com/f/suzy-friton-survival-fund	Medical	12	Suzy Friton Survival Fund	Las Vegas, NV	168774	300000	1.8K	119 days 20:05:37.235977000	5K	1.8K	1.8K	My best friend & 3 time cancer thriver Suze was recently diagnosed with stage 4 Metastatic Breast Cancer. After beating cancer twice before the cancer has come back very aggressively this time. Suze is the main makeup artist for the UFC & is self employed. She needs any help financially that she can get. Treatments are very expensive & the cancer is growing on her spine, liver, and the lymph nodes in her chest, so time is of the essence to get her the help she needs! It has caused 2 fractures on her spine. She is unable to continue to work, she’s not suppose to lift more than 15 pounds or do many of the things she loves doing. Suze plans on beating this & has started her journey to become healthy again. Her doctors told her she has 2-3 years to live with conventional medicine. While we are watching all the Radical Remissions, Heal & learning everything we can, she is staying determined to beat this disease & keeping positive attitude like no one else. The plan is to do everything she can to stay healthy. She started chemotherapy, that didn’t go well - we tried the hormone blockers along with the pill form of chemo - that didn’t go well either - as a sign and with prayer and a lot of hard questions she needed to answer for herself & about life she decided to get on the all natural route and holistically try to clean and clear her body of this cancer once and for all.  She’s going all in with complete faith with protocols and all Natural cures and is learning everything she can about alternative healing while applying everything she can. Suze plans on beating this and being back on her feet in the time that they said she has to live. This woman helped & coached me through my cancer journey last year when I wasn’t doing so well, this is my opportunity to return that favour. She sent me information, reminded me to do the diet, drink the smoothies, how to be spiritually enlightened, & reminded me of my purpose here when I needed it. She is a light in this world!This has been a very tough time there is a virus that is killing people in her position so as she fights this disease during COVID-19 I ask you to help out anyway you can, if you don’t have a donation to spare please spread the word & share her story. Her story helped me when I had cancer & it could help more people. We all want to see this amazing woman beat the odds!
0	https://www.gofundme.com/f/supporting-robbie-mceachern-and-family	Medical	13	Supporting Robbie McEachern and Family	Lake Oswego, OR	167980	50000	897	156 days 20:05:38.581426000	3.7K	885	884	We ask for your prayers and financial help for Robbie and his family: wife Courtney, son Jonny (age 4) and Peach (age 2) as they deal with Robbie's cancer diagnosis.Rob was first diagnosed with Osteosarcoma (bone cancer) in April of 2017. Jonathan was only 1.5 and Courtney was pregnant with Alexandra. Between then and now, he has battled and fought through 3 different months-long chemotherapy treatments and 3 massive surgeries (tumor resection/fibula removal, lung lumpectomy & lung wedge resection). Through it all, he has kept working, caring for his family and kept his amazing optimistic outlook. This spring we received  the devastating news that the tumor had traveled to several organs, putting him in stage 4, metastatic. He kept fighting and tried to get on a clinical trial for one-last shot. Unfortunately, the tumors were too aggressive and nothing helped. Rob was diagnosed terminal on May 26th. To know Robbie is to love Robbie. He has a larger-than-life personality, whose  smile,  boisterous voice and laughter is only matched by the size of his heart. He is a social butterfly and makes friends with anyone that crosses his path. His love of the Ducks is the only thing that comes close to that of his love for his family and friends. He is an amazing, son, brother, husband, father and friend. The time he has here with us all is cruelly short, but the legacy of love that he is leaving will last a lifetime.  In this time, Robbie and family are doing their best to prepare, but also see all the people and things that Rob loves so much. He even made his way to his beloved Autzen stadium one last time.  Rob is now at home in hospice and we are doing our best to keep him comfortable, pain-free, with lots of love from family and friends in the time he has left. The family has been offered a ton of help, but Courtney will need to sort out how to manage everything after Rob passes.  We want to  raise money so Robbie's time left can be spent focusing on spending time with his friends and family and not worrying about finances. The best way to help is through this Gofundme. The different costs that will need to be managed - funeral expenses, childcare, meal delivery services, future children expenses and a college fund for Jonny and Peach. Please donate what you can to help this amazing man, that has made such an incredible impact in so many of our lives.
0	https://www.gofundme.com/f/vky9j-ebi039s-gofundme	Medical	13	Ebi's GoFundMe	Culver City, CA	179110	200000	5.7K	48 days 20:05:39.516339000	533	5.5K	5.5K	"
Hi everyone :)First I want to thank you guys for all the love and support after my IG post on the 16th. My Leukemia diagnoses was something I was a little nervous to share but it felt odd to keep it away from a community that I feel so close to. 

I was also hesitant to make a gofundme because I have no idea how much this hospital stay or subsequent medical care will but its been encouraging to hear from so many of you encouraging me to do so. Prior to this, I considered my self a pretty healthy person so picking a robust insurance plan as always been more of a second thought (*regrets*). So the goal I set is really just a random guess. 

Whatever is amount donated will go towards medical expenses and keeping things running with the nurselifern media company as I take some time off over the next few weeks or months to recuperate. I appreciate you guys.

-sincerely  a plant  
"
